"ASSET","BANKS","DEP","EQNM","ID","NETINC","STNAME","YEAR"
73253574,160,59958571,8074580,"CB_2019_NE",940054,"Nebraska","2019"
2187852,4,1797043,305649,"CB_2019_NH",27507,"New Hampshire","2019"
120415468,34,92915520,13695523,"CB_2019_NJ",1204249,"New Jersey","2019"
11379375,31,9795638,1228034,"CB_2019_NM",187835,"New Mexico","2019"
27344448,15,13135523,4863428,"CB_2019_NV",887045,"Nevada","2019"
1016289821,98,814631125,116275246,"CB_2019_NY",10478422,"New York","2019"
3320718201,136,2421099871,356768610,"CB_2019_OH",45501045,"Ohio","2019"
114164691,197,88708359,12757184,"CB_2019_OK",1341531,"Oklahoma","2019"
33621621,14,26729642,5157184,"CB_2019_OR",440636,"Oregon","2019"
72230637,9,60856709,8922553,"CB_2019_OT",922754,"Other Areas","2019"
199122575,92,158782580,23813546,"CB_2019_PA",2031225,"Pennsylvania","2019"
69483750,5,58427110,8653458,"CB_2019_PR",897807,"Puerto Rico","2019"
0,0,0,0,"CB_2019_PW",0,"Palau","2019"
173762169,5,132781528,22861484,"CB_2019_RI",1910414,"Rhode Island","2019"
38441637,35,30813503,5182774,"CB_2019_SC",441042,"South Carolina","2019"
3250052845,58,2526915240,327933509,"CB_2019_SD",37804616,"South Dakota","2019"
138739880,130,110673102,17903427,"CB_2019_TN",1716220,"Tennessee","2019"
427334428,393,350222344,52826004,"CB_2019_TX",6155366,"Texas","2019"
17419587419,4517,13554033002,1976879473,"CB_2019_US",216679419,"United States","2019"
17491818056,4526,13614889711,1985802026,"CB_2019_USA",217602173,"United States & Other Areas","2019"
660128761,38,509649051,72312549,"CB_2019_UT",15072173,"Utah","2019"
722789832,69,548625988,96684363,"CB_2019_VA",7279686,"Virginia","2019"
295494,1,270421,23848,"CB_2019_VI",4626,"Virgin Islands Of The U.S.","2019"
2839438,6,2388634,281365,"CB_2019_VT",33058,"Vermont","2019"
75643874,32,60311131,9567373,"CB_2019_WA",919397,"Washington","2019"
106479204,166,85087030,12784665,"CB_2019_WI",1240075,"Wisconsin","2019"
35452200,46,27350462,4821011,"CB_2019_WV",425219,"West Virginia","2019"
8729633,28,7652390,947956,"CB_2019_WY",114331,"Wyoming","2019"
6088384,4,4435395,765682,"CB_2018_AK",82862,"Alaska","2018"
271722049,115,217365276,34823902,"CB_2018_AL",3208839,"Alabama","2018"
107524039,92,85715430,15242374,"CB_2018_AR",1625603,"Arkansas","2018"
0,0,0,0,"CB_2018_AS",0,"American Samoa","2018"
27312622,15,23101530,3014069,"CB_2018_AZ",491849,"Arizona","2018"
783132880,143,617585276,92800452,"CB_2018_CA",9082835,"California","2018"
62137353,71,52981996,6881550,"CB_2018_CO",821606,"Colorado","2018"
82218542,12,64423503,9829190,"CB_2018_CT",911076,"Connecticut","2018"
1266621,3,1035861,110108,"CB_2018_DC",4780,"District Of Columbia","2018"
1070205384,19,760873516,149906629,"CB_2018_DE",14675358,"Delaware","2018"
162611308,112,131622442,17161237,"CB_2018_FL",1747804,"Florida","2018"
164292,1,139502,23763,"CB_2018_FM",2554,"Federated States of Micronesia","2018"
319194284,159,258003795,36787669,"CB_2018_GA",4316183,"Georgia","2018"
2205874,2,1996020,191991,"CB_2018_GU",14424,"Guam","2018"
44990105,6,38412803,4379596,"CB_2018_HI",564273,"Hawaii","2018"
83494430,285,68247253,9252264,"CB_2018_IA",1039203,"Iowa","2018"
5961563,12,5043553,682584,"CB_2018_ID",80364,"Idaho","2018"
486071350,381,388719737,55217221,"CB_2018_IL",5185793,"Illinois","2018"
92301792,82,73354461,10985703,"CB_2018_IN",1178130,"Indiana","2018"
60195144,226,49213309,6762062,"CB_2018_KS",706411,"Kansas","2018"
57893088,138,46722121,6589658,"CB_2018_KY",689227,"Kentucky","2018"
75965388,100,61824142,9125706,"CB_2018_LA",860894,"Louisiana","2018"
298514661,16,230942439,32249344,"CB_2018_MA",3334931,"Massachusetts","2018"
41138275,32,32888024,5252169,"CB_2018_MD",494573,"Maryland","2018"
11996766,6,9357152,1289286,"CB_2018_ME",146325,"Maine","2018"
0,0,0,0,"CB_2018_MH",0,"Marshall Islands","2018"
61257677,85,48279995,7005558,"CB_2018_MI",788322,"Michigan","2018"
68555745,279,58341667,7415498,"CB_2018_MN",884961,"Minnesota","2018"
163623438,247,136579157,16615776,"CB_2018_MO",2135566,"Missouri","2018"
0,0,0,0,"CB_2018_MP",0,"Northern Mariana Islands","2018"
102196981,69,84224683,12365388,"CB_2018_MS",1182980,"Mississippi","2018"
37258662,46,29865636,4610314,"CB_2018_MT",560954,"Montana","2018"
2065810282,31,1679642774,242391738,"CB_2018_NC",33231520,"North Carolina","2018"
29107052,73,25131214,2987544,"CB_2018_ND",383834,"North Dakota","2018"
68443688,164,56271726,7314692,"CB_2018_NE",918712,"Nebraska","2018"
2574314,4,2180836,291465,"CB_2018_NH",24288,"New Hampshire","2018"
89049279,40,71296220,10373975,"CB_2018_NJ",908944,"New Jersey","2018"
12219965,34,10556656,1267108,"CB_2018_NM",188398,"New Mexico","2018"
21176392,15,9569381,4526838,"CB_2018_NV",841470,"Nevada","2018"
932881301,97,736848265,110227381,"CB_2018_NY",10983043,"New York","2018"
3141059134,136,2283036071,314360542,"CB_2018_OH",39751181,"Ohio","2018"
101982598,199,80038432,10575851,"CB_2018_OK",1407285,"Oklahoma","2018"
31326046,15,25075735,4865950,"CB_2018_OR",393451,"Oregon","2018"
68512837,9,56473535,9128573,"CB_2018_OT",1046787,"Other Areas","2018"
179895099,95,139534348,21291669,"CB_2018_PA",1904697,"Pennsylvania","2018"
65901722,5,54114551,8896583,"CB_2018_PR",1026930,"Puerto Rico","2018"
0,0,0,0,"CB_2018_PW",0,"Palau","2018"
136966226,5,99273450,17684011,"CB_2018_RI",1484781,"Rhode Island","2018"
35783831,38,29322848,4886628,"CB_2018_SC",417140,"South Carolina","2018"
3153828413,59,2414402596,319866135,"CB_2018_SD",39032479,"South Dakota","2018"
132256103,135,108187614,16574809,"CB_2018_TN",1768951,"Tennessee","2018"
399878034,409,328907699,46965073,"CB_2018_TX",5825932,"Texas","2018"
16659588719,4708,12841993883,1879484951,"CB_2018_US",221008403,"United States","2018"
16728101556,4717,12898467418,1888613524,"CB_2018_USA",222055190,"United States & Other Areas","2018"
634758153,40,476631226,67007713,"CB_2018_UT",14391320,"Utah","2018"
686657673,71,511822750,92787491,"CB_2018_VA",7810044,"Virginia","2018"
240949,1,223462,16236,"CB_2018_VI",2879,"Virgin Islands Of The U.S.","2018"
2721406,6,2343301,255027,"CB_2018_VT",27404,"Vermont","2018"
72321113,33,57296959,9092512,"CB_2018_WA",877487,"Washington","2018"
104340674,177,83745457,11853617,"CB_2018_WI",1174881,"Wisconsin","2018"
31472825,48,24439371,4072470,"CB_2018_WV",361723,"West Virginia","2018"
8250587,29,7278802,843723,"CB_2018_WY",97736,"Wyoming","2018"
5974228,4,4443646,750536,"CB_2017_AK",57069,"Alaska","2017"
261309765,116,212296583,34288068,"CB_2017_AL",2307301,"Alabama","2017"
97636998,96,78071141,13449963,"CB_2017_AR",1249053,"Arkansas","2017"
0,0,0,0,"CB_2017_AS",0,"American Samoa","2017"
24388774,15,20663792,2717476,"CB_2017_AZ",365024,"Arizona","2017"
738505927,155,586598135,90080883,"CB_2017_CA",5881947,"California","2017"
60294745,76,52077379,5948260,"CB_2017_CO",631108,"Colorado","2017"
77974728,15,60543728,9000894,"CB_2017_CT",667567,"Connecticut","2017"
1162334,3,970305,109149,"CB_2017_DC",3495,"District Of Columbia","2017"
1059757420,19,748394860,144157375,"CB_2017_DE",8676311,"Delaware","2017"
156762621,124,125843726,16003891,"CB_2017_FL",1672962,"Florida","2017"
144404,1,120976,22301,"CB_2017_FM",2101,"Federated States of Micronesia","2017"
308296462,165,255110987,35811822,"CB_2017_GA",3406822,"Georgia","2017"
2293172,2,2098761,180114,"CB_2017_GU",7518,"Guam","2017"
44602239,6,38724366,4394838,"CB_2017_HI",418488,"Hawaii","2017"
80768708,292,66081192,8874566,"CB_2017_IA",899879,"Iowa","2017"
5559342,12,4728573,620637,"CB_2017_ID",44629,"Idaho","2017"
466986637,398,373906060,52390661,"CB_2017_IL",3712923,"Illinois","2017"
89018578,84,70418866,10378165,"CB_2017_IN",873964,"Indiana","2017"
58275637,238,47378556,6441636,"CB_2017_KS",585217,"Kansas","2017"
58054833,143,47033454,6510791,"CB_2017_KY",604062,"Kentucky","2017"
72095564,107,59028200,8482780,"CB_2017_LA",535283,"Louisiana","2017"
289058651,18,232913101,28852451,"CB_2017_MA",2648566,"Massachusetts","2017"
35580702,35,28365674,4067935,"CB_2017_MD",311262,"Maryland","2017"
11438960,6,8485365,1224846,"CB_2017_ME",104929,"Maine","2017"
0,0,0,0,"CB_2017_MH",0,"Marshall Islands","2017"
57362721,89,45441290,6645156,"CB_2017_MI",552650,"Michigan","2017"
68739202,292,58584352,7324072,"CB_2017_MN",805859,"Minnesota","2017"
155597790,260,130473643,15708891,"CB_2017_MO",1611727,"Missouri","2017"
0,0,0,0,"CB_2017_MP",0,"Northern Mariana Islands","2017"
94220116,73,76142631,10852282,"CB_2017_MS",860051,"Mississippi","2017"
34305323,48,27743063,4091675,"CB_2017_MT",444034,"Montana","2017"
2030443185,34,1603157904,241981802,"CB_2017_NC",24188685,"North Carolina","2017"
26148359,74,22689135,2645348,"CB_2017_ND",321876,"North Dakota","2017"
65011236,169,53013525,6836461,"CB_2017_NE",676918,"Nebraska","2017"
2694520,5,2321545,299600,"CB_2017_NH",21779,"New Hampshire","2017"
73156054,45,59081280,8274515,"CB_2017_NJ",591652,"New Jersey","2017"
12088134,36,10293783,1226038,"CB_2017_NM",148111,"New Mexico","2017"
20690428,15,10629468,4234657,"CB_2017_NV",1019140,"Nevada","2017"
901389329,98,714086640,106284470,"CB_2017_NY",7516752,"New York","2017"
3037172162,120,2235107203,308216013,"CB_2017_OH",30607033,"Ohio","2017"
100046242,205,79759707,10820131,"CB_2017_OK",1180588,"Oklahoma","2017"
30377281,17,24129252,4797498,"CB_2017_OR",302125,"Oregon","2017"
64986550,9,52569427,8680701,"CB_2017_OT",364552,"Other Areas","2017"
165085736,101,127854941,19858506,"CB_2017_PA",1322526,"Pennsylvania","2017"
62357096,5,50173217,8464021,"CB_2017_PR",353766,"Puerto Rico","2017"
0,0,0,0,"CB_2017_PW",0,"Palau","2017"
128928068,5,94684557,17697744,"CB_2017_RI",1441761,"Rhode Island","2017"
34445204,41,28215457,4579182,"CB_2017_SC",229216,"South Carolina","2017"
3187428361,64,2410531620,315039599,"CB_2017_SD",22495930,"South Dakota","2017"
126812788,142,100962451,15578733,"CB_2017_TN",998880,"Tennessee","2017"
392708386,423,324628953,45324068,"CB_2017_TX",4688453,"Texas","2017"
16152894808,4909,12415017104,1816269765,"CB_2017_US",151127546,"United States","2017"
16217881358,4918,12467586531,1824950466,"CB_2017_USA",151492098,"United States & Other Areas","2017"
