"BRANCHES","ID","STNAME","TOTAL","YEAR"
1610,"CB_2019_WI","Wisconsin",166,"2019"
546,"CB_2019_WV","West Virginia",46,"2019"
186,"CB_2019_WY","Wyoming",28,"2019"
113,"CB_2018_AK","Alaska",4,"2018"
1356,"CB_2018_AL","Alabama",115,"2018"
1268,"CB_2018_AR","Arkansas",92,"2018"
4,"CB_2018_AS","American Samoa",0,"2018"
1129,"CB_2018_AZ","Arizona",15,"2018"
6624,"CB_2018_CA","California",143,"2018"
1354,"CB_2018_CO","Colorado",71,"2018"
801,"CB_2018_CT","Connecticut",12,"2018"
208,"CB_2018_DC","District Of Columbia",3,"2018"
193,"CB_2018_DE","Delaware",19,"2018"
4697,"CB_2018_FL","Florida",112,"2018"
11,"CB_2018_FM","Federated States of Micronesia",1,"2018"
2161,"CB_2018_GA","Georgia",159,"2018"
18,"CB_2018_GU","Guam",2,"2018"
0,"CB_2018_HI","Hawaii",6,"2018"
1219,"CB_2018_IA","Iowa",285,"2018"
467,"CB_2018_ID","Idaho",12,"2018"
3749,"CB_2018_IL","Illinois",381,"2018"
1786,"CB_2018_IN","Indiana",82,"2018"
1129,"CB_2018_KS","Kansas",226,"2018"
1471,"CB_2018_KY","Kentucky",138,"2018"
1305,"CB_2018_LA","Louisiana",100,"2018"
1249,"CB_2018_MA","Massachusetts",16,"2018"
1385,"CB_2018_MD","Maryland",32,"2018"
253,"CB_2018_ME","Maine",6,"2018"
1,"CB_2018_MH","Marshall Islands",0,"2018"
2265,"CB_2018_MI","Michigan",85,"2018"
1318,"CB_2018_MN","Minnesota",279,"2018"
2024,"CB_2018_MO","Missouri",247,"2018"
8,"CB_2018_MP","Northern Mariana Islands",0,"2018"
1103,"CB_2018_MS","Mississippi",69,"2018"
328,"CB_2018_MT","Montana",46,"2018"
2229,"CB_2018_NC","North Carolina",31,"2018"
316,"CB_2018_ND","North Dakota",73,"2018"
879,"CB_2018_NE","Nebraska",164,"2018"
271,"CB_2018_NH","New Hampshire",4,"2018"
2216,"CB_2018_NJ","New Jersey",40,"2018"
406,"CB_2018_NM","New Mexico",34,"2018"
468,"CB_2018_NV","Nevada",15,"2018"
4113,"CB_2018_NY","New York",97,"2018"
3166,"CB_2018_OH","Ohio",136,"2018"
1085,"CB_2018_OK","Oklahoma",199,"2018"
939,"CB_2018_OR","Oregon",15,"2018"
362,"CB_2018_OT","Other Areas",9,"2018"
3180,"CB_2018_PA","Pennsylvania",95,"2018"
297,"CB_2018_PR","Puerto Rico",5,"2018"
2,"CB_2018_PW","Palau",0,"2018"
199,"CB_2018_RI","Rhode Island",5,"2018"
1177,"CB_2018_SC","South Carolina",38,"2018"
385,"CB_2018_SD","South Dakota",59,"2018"
1958,"CB_2018_TN","Tennessee",135,"2018"
5972,"CB_2018_TX","Texas",409,"2018"
76772,"CB_2018_US","United States",4708,"2018"
77134,"CB_2018_USA","United States & Other Areas",4717,"2018"
482,"CB_2018_UT","Utah",40,"2018"
2198,"CB_2018_VA","Virginia",71,"2018"
21,"CB_2018_VI","Virgin Islands Of The U.S.",1,"2018"
183,"CB_2018_VT","Vermont",6,"2018"
